Chapter,Starter Post,Time Post,Views,Replies
"One Piece Chapter 838: ""Bropper""",Red,"Sep 1, 2016","16,189",108
"One Piece Chapter 840: ""Iron Mask""",Kyros,"Sep 21, 2016","21,309",76
"One Piece Chapter 837: ""Luffy vs Commander Cracker""",Red,"Aug 25, 2016","35,079",91
"One Piece Chapter 836: ""The Vivre Card Lola Gave""",WachaAlPharoh,"Aug 18, 2016","13,693",91
One Piece Chapter 835: ''The Nation of Souls'',Danny,"Aug 4, 2016","7,031",71
One Piece 834: My Dream,Dustfinger,"Jul 28, 2016","2,952",42
"One Piece Chapter 834 ""My Dream""",SirSpicious,"Jul 28, 2016",565,2
"One Piece Chapter 834: ""My Dream""",Glen Flores,"Jul 29, 2016",296,1
One Piece Chapter 833 : Vinsmoke Judge,Dustfinger,"Jul 21, 2016","5,084",61
"One Piece Chapter 832: ""Germa Kingdom""",SirSpicious,"Jul 13, 2016","5,200",38
"One Piece Chapter 831: ""Adventure In A Mysterious Forest""",Dustfinger,"Jun 30, 2016","5,576",69
"One Piece Chapter 824: ""Little Pirate Games""",Glen Flores,"Apr 21, 2016","12,084",94
"One Piece Chapter 830: ""He Who Gets Bet On""",Dustfinger,"Jun 23, 2016","7,030",51
"One Piece Chapter 829: ""The Yonkou, Charlotte Linlin the Pirate""",Owl,"Jun 16, 2016","10,108",38
"One Piece Chapter 828: ""1 and 2""",Dustfinger,"Jun 2, 2016","7,906",78
"One Piece Chapter 827: ""Totland""",Glen Flores,"May 26, 2016","15,953",124
"One Piece Chapter 826:  ""0 and 4""",Gol2DRoger,"May 19, 2016","16,975",79
"One Piece Chapter 825: ""The WE' Times Comic Strip""",strawhatluVEY,"May 2, 2016","12,434",60
"One Piece Chapter 823: ""A World Abuzz""",Glen Flores,"Apr 14, 2016","8,339",78
"One Piece Chapter 821: ""Understood""",Glen Flores,"Mar 31, 2016","9,445",111
"One Piece Chapter 822: ""Descending the Elephant""",Glen Flores,"Apr 7, 2016","7,108",76
"One Piece Chapter 820: ""Dog and Cat Have a History""",Owl,"Mar 16, 2016","9,040",79
"One Piece Chapter 819: ""Momonosuke, Heir of the Kouzuki Clan""",DarthPyro,"Mar 10, 2016","8,423",68
"One Piece Chapter 818: ""Within The Whale""",changgumsu,"Mar 3, 2016","13,307",128
"One Piece Chapter 817: ""Raizou of the Mist""",WachaAlPharoh,"Feb 25, 2016","8,922",55
"One Piece Chapter 816: ""Dog Vs. Cat""",Monster Trio,"Feb 10, 2016","6,880",64
"One Piece Chapter 813: ""An Invitation To The Tea Party""",DragonTheRevolutionary,"Jan 21, 2016","8,965",71
"One Piece Chapter 815: ""Take Me With You!!""",Red,"Feb 4, 2016","7,808",50
"One Piece Chapter 814: ""Let's Go See Master Nekomamushi""",Owl,"Jan 28, 2016","8,211",56
"One Piece Chapter 812: ""Capone ""Gang"" Bege""",DragonTheRevolutionary,"Jan 14, 2016","17,960",97
"One Piece Chapter 811: ""Roko""",Owl,"Dec 26, 2015","6,523",43
"One Piece Chapter 810: ""The Curly Hat Pirates Arrive""",Owl,"Dec 17, 2015","7,570",64
"One Piece Chapter 809: ""Master Nekomamushi""",Rogue,"Dec 4, 2015","8,995",61
"One Piece Chapter 808: ""Duke Inuarashi""",mugiwara88,"Nov 27, 2015","5,609",46
"One Piece Chapter 807: ""10 Days Ago""",Kyros,"Nov 19, 2015","7,314",72
"One Piece Chapter 795: ""Suicide""",Owl,"Jul 30, 2015","22,205",146
"One Piece Chapter 806: ""At the Fort on the Right Belly""",Kyros,"Nov 5, 2015","9,629",87
One Piece Chapter 805: ''The Mink Tribe'',kazuko.i,"Oct 29, 2015","8,992",104
"One Piece Chapter 802: ""Zou""",Owl,"Oct 1, 2015","20,539",133
One Piece Chapter 804: ''An Adventure On The Back Of An Elephant'',kazuko.i,"Oct 22, 2015","8,477",107
"One Piece Chapter 803: ""Climbing the Elephant""",Soma,"Oct 7, 2015","14,313",126
"One Piece Chapter 801: ""Opening Declaration""",Owl,"Sep 24, 2015","19,129",147
"One Piece Chapter 800: ""An Underling's Vow""",Owl,"Sep 16, 2015","14,838",85
"One Piece Chapter 799: ""Parent & Child""",Owl,"Sep 3, 2015","23,971",127
"One Piece Chapter 798: ""Heart""",Owl,"Aug 27, 2015","7,483",54
"One Piece Chapter 797: ""Rebecca""",Owl,"Aug 20, 2015","9,049",61
"One Piece Chapter 712: ""Violet""",kazuko.i,"Jun 26, 2013","23,189",81
"One Piece Chapter 796: ""Soldier-San's Decision""",Monster Trio,"Aug 6, 2015","7,633",47
"One Piece Chapter 794: ""Sabo's Adventure""",JuanPiece,"Jul 15, 2015","13,380",88
"One Piece Chapter 793: ""The Tiger And The Dog""",Owl,"Jul 9, 2015","16,106",105
"One Piece Chapter 792: ""Kneeling Down""",Owl,"Jul 2, 2015","9,953",64
"One Piece Chapter 791: ""Rubble""",Owl,"Jun 25, 2015","9,003",69
"One Piece Chapter 790: ""Heaven and Earth""",Owl,"Jun 18, 2015","15,242",91
"One Piece Chapter 789: ""Lucy!!""",JuanPiece,"Jun 4, 2015","9,709",73
"One Piece Chapter 788: ""My Battle""",Owl,"May 28, 2015","8,185",65
One Piece Chapter 787: ''4 Minutes'',kazuko.i,"May 21, 2015","12,529",76
"One Piece Chapter 786: ""Gatz""",Owl,"May 14, 2015","11,674",81
"One Piece Chapter 785: ""Even If My Legs Were Broken""",Owl,"May 7, 2015","13,520",85
One Piece Chapter 784: ''Gear 4'',kazuko.i,"Apr 23, 2015","52,056",196
"One Piece Chapter 765: ""Island of Fate, Minion""",kazuko.i,"Oct 23, 2014","20,114",38
"One Piece Chapter 783: ""You're In My Way""",kazuko.i,"Apr 9, 2015","17,994",134
"One Piece Chapter 782: ""The Reincarnation Of Evil""",Owl,"Apr 2, 2015","12,555",74
"One Piece Chapter 758: ""Ignore it and move on""",kazuko.i,"Aug 28, 2014","16,711",129
"One Piece Chapter 781: ""Long-Cherished Desire""",mugiwara88,"Mar 26, 2015","9,566",76
One Piece Chapter 780: ''Spell Binding of the Heart'',kazuko.i,"Mar 19, 2015","10,846",53
One Piece Chapter 779: ''Final Fight'',kazuko.i,"Mar 5, 2015","12,641",73
One Piece Chapter 778: ''Tactics No.5'',kazuko.i,"Feb 26, 2015","8,831",51
One Piece Chapter 777: ''Zoro VS Pica'',kazuko.i,"Feb 19, 2015","8,400",42
One Piece Chapter 776: ''Hero of the Colosseum'',kazuko.i,"Feb 12, 2015","4,713",31
One Piece Chapter 775: ''Love for Lucien'',kazuko.i,"Jan 29, 2015","9,172",51
"One Piece Chapter 769: ""Bellamy The Pirate""",kazuko.i,"Nov 27, 2014","17,813",93
"One Piece Chapter 774: ''Leo, the Tontatta Troop Leader''",kazuko.i,"Jan 22, 2015","6,404",47
One Piece Chapter 773: ''Half & Half'',kazuko.i,"Jan 15, 2015","9,574",51
"One Piece Chapter 772: ""Cabbage & Romeo""",naruto,"Dec 26, 2014","14,050",46
"One Piece Chapter 771: ""Sai, Leader of the Happo Navy""",Owl,"Dec 18, 2014","13,513",35
"One Piece Chapter 770: ""The Lance of Elbaf""",Owl,"Dec 11, 2014","10,364",41
"One Piece Chapter 768: ""The Trigger Back Then""",kazuko.i,"Nov 19, 2014","15,249",47
"One Piece Chapter 767: ""Cora-san""",Kyros,"Nov 13, 2014","14,199",43
"One Piece Chapter 766: ""Smile""",kazuko.i,"Nov 6, 2014","20,133",65
"One Piece Chapter 764: ""White Monster""",kazuko.i,"Oct 16, 2014","11,898",51
"One Piece Chapter 763: ""Human Declaration""",kazuko.i,"Oct 8, 2014","16,520",138
"One Piece Chapter 762: ""The White City""",yohohoho,"Oct 2, 2014","11,710",84
"One Piece Chapter 761: ""Ope Ope Fruit""",kazuko.i,"Sep 18, 2014","15,976",113
"One Piece Chapter 760: ""The Same Stakes""",kazuko.i,"Sep 10, 2014","16,988",88
"One Piece Chapter 759: ""Secret Plan""",yohohoho,"Sep 4, 2014","11,043",119
"One Piece Chapter 757: ""The Trump Card""",kazuko.i,"Aug 20, 2014","10,289",63
"One Piece Chapter 756: ""The 4th Level""",kazuko.i,"Aug 6, 2014","6,274",20
"One Piece Chapter 755: ""Man's World""",kazuko.i,"Jul 30, 2014","10,187",40
"One Piece Chapter 754: ""Pleased to Make Your Acquaintance""",LYNDON,"Jul 23, 2014","18,506",102
"One Piece Chapter 753: ""Battle""",kazuko.i,"Jul 15, 2014","5,954",22
"One Piece Chapter 752: ""Palm""",kazuko.i,"Jul 2, 2014","10,554",46
"One Piece Chapter 751: ""Sabo vs Admiral Fujitora""",Owl,"Jun 25, 2014","12,955",44
One Piece Chapter 750: ''War'',kazuko.i,"Jun 18, 2014","11,971",73
"One Piece Chapter 745: ""Birdcage""",Owl,"Apr 23, 2014","17,580",85
One Piece Chapter 749: ''March forward!! Little Thieves Army'',kazuko.i,"May 28, 2014","20,431",73
"One Piece Chapter 748: ""My Repayment""",kazuko.i,"May 21, 2014","16,791",96
"One Piece Chapter 747: ""Highest Executive Pica""",kazuko.i,"May 14, 2014","14,133",103
"One Piece Chapter 746: ""STARS""",Gol2DRoger,"May 7, 2014","16,789",96
"One Piece Chapter 710: ""Towards Green Bit""",kazuko.i,"Jun 5, 2013","34,165",71
"One Piece Chapter 744: ""The General Officer Of The Revolutionary Army""",Owl,"Apr 9, 2014","44,014",185
"Chapter 743: ""Big Jolts in Dressrosa""",kazuko.i,"Apr 2, 2014","20,525",131
"Chapter 742: ""I'll always be close to you.""",kazuko.i,"Mar 26, 2014","16,708",91
"Chapter 741: ""Usoland the Liar!""",Soma,"Mar 12, 2014","12,431",74
"Chapter 740: ""Please!!!""",Owl,"Mar 5, 2014","9,755",64
"Chapter 739: ""Captain""",Owl,"Feb 26, 2014","11,661",53
Chapter 738: ''Trebol Army Special Executive Sugar'',kazuko.i,"Feb 19, 2014","13,482",105
Chapter 737: ''The Executive Tower'',kazuko.i,"Feb 5, 2014","25,960",180
Chapter 736: ''Chief Executive Diamante'',kazuko.i,"Jan 29, 2014","24,290",153
Chapter 734: ''Rommel's whirlwind'',kazuko.i,"Jan 15, 2014","17,542",93
Chapter 735: ''Fujitora's intentions'',kazuko.i,"Jan 22, 2014","16,195",85
Chapter 733: ''What mr. Soldier wants'',kazuko.i,"Dec 25, 2013","33,117",239
Chapter 731: ''Dressrosa Operation SOP.'',kazuko.i,"Dec 10, 2013","68,095",273
"Chapter 732: ""The Underground World""",Owl,"Dec 18, 2013","9,625",49
"One Piece Chapter 730: ""3 Cards""",Owl,"Dec 3, 2013","38,318",178
"Chapter 729: ""Shichibukai Doflamingo vs Shichibukai Law""",iEx-sHoOteR,"Nov 20, 2013","43,615",117
Chapter 728: “Tragedies”,JuanPiece,"Nov 13, 2013","25,250",68
Chapter 727: ''Ambushing heroes.'',kazuko.i,"Nov 6, 2013","12,375",63
Chapter 726: ''The Riku family'',kazuko.i,"Oct 29, 2013","8,188",29
Chapter 725: ''The Undefeated Woman'',kazuko.i,"Oct 18, 2013","7,381",38
Chapter 722: ''The Royal Bloodline'',kazuko.i,"Sep 25, 2013","8,475",47
Chapter 724: ''Law's Plan.'',kazuko.i,"Oct 8, 2013","8,413",45
Chapter 723: ''A Change of Plans.'',X Drake,"Oct 2, 2013","8,479",41
Chapter 720: ''Convict Gladiators'',kazuko.i,"Sep 4, 2013","16,819",72
Chapter 721: ''Rebecca and Mr. Soldier'',Soma,"Sep 10, 2013","14,823",56
"Chapter 719: ''Open, Chinjao!''",kazuko.i,"Aug 28, 2013","9,522",44
Chapter 718: ''The Riku kingdom army of the flower garden'',kazuko.i,"Aug 21, 2013","18,342",40
"Chapter 716 : ""Don Qinjiao!""",Soma,"Jul 31, 2013","8,925",37
"Chapter 717 : ""What Dressrosa's forgot.""",kazuko.i,"Aug 7, 2013","10,040",51
"Chapter 715 : ""Violent Fight in Block C!""",Soma,"Jul 17, 2013","19,617",57
"Chapter 714: ""Lucy and Ucy""",kazuko.i,"Jul 9, 2013","25,607",55
"One Piece Chapter 713: ""Usoland""",Owl,"Jul 3, 2013","32,426",79
"Chapter 711: ""Adventure in the country of gnomes""",kazuko.i,"Jun 12, 2013","15,276",68
"Chapter 695: ""Leave it to me!!""",Soma,"Jan 16, 2013","27,546",65
"Chapter 709: ""King Punch!!!""",JoyfulBoy,"May 15, 2013","33,620",57
"One Piece Chapter 708: ""Colosseum of the Thieves""",Owl,"May 8, 2013","34,813",73
"One Piece Chapter 707: ""B Block""",Owl,"Apr 23, 2013","40,829",95
"Chapter 704: ""The Statue of Kyros and Lucy""",kazuko.i,"Apr 3, 2013","71,595",235
"Chapter 701: ""Adventure in the Land of Love, Passion, and Toys""",Soma,"Mar 6, 2013","34,740",70
"One Piece Chapter 706: ""I won't laugh at you""",Owl,"Apr 17, 2013","44,733",101
"One Piece Chapter 705: ""Maynard The Pursuer""",Owl,"Apr 10, 2013","58,329",226
"Chapter 703: ""Waiting Room""",Soma,"Mar 27, 2013","34,723",188
"Chapter 702: ""The Corrida Colloseum""",Roger D. Ace,"Mar 19, 2013","34,178",76
"Chapter 700: ""His Pace""",Little-miss-melody,"Feb 27, 2013","29,506",120
"Chapter 699: ""Morning Paper""",kazuko.i,"Feb 20, 2013","40,907",106
"Chapter 698: ""Doflamingo Appears""",105abs,"Feb 5, 2013","20,441",53
"One Piece Chapter 697: ""Transaction""",Owl,"Jan 30, 2013","16,661",42
"Chapter 696: ""Matching Interests""",Soma,"Jan 23, 2013","25,666",85
"Chapter 694: ""The most dangerous man!""",Soma,"Dec 27, 2012","10,311",63
"Chapter 693: ""Die for me!!""",Soma,"Dec 18, 2012","7,474",33
"Chapter 692: "" The killer from Dressrosa""",Soma,"Dec 12, 2012","3,999",13
"Chapter 691: ""The king of the land of death""",Shanks,"Dec 5, 2012","2,291",10
"Chapter 690: ""SAD""",Shanks,"Nov 28, 2012","1,750",8
chapter 689 ANOTHER EPIC PUNCH,h8r_jerome,"Nov 20, 2012","1,251",4
"Chapter 688: ""Mocha""",Shanks,"Nov 7, 2012","1,528",12
"Chapter 686: ""Biscuit Room's Snow woman""",Soma,"Oct 24, 2012","1,385",8
"Chapter 687: ""Wild Animal""",Soma,"Oct 30, 2012","1,919",11
"Chapter 685: ""Momonosuke is my name!!""",Shanks,"Oct 17, 2012","5,945",6
"Chapter 684: ""Stop it, Vegapunk.""",Shanks,"Oct 10, 2012","12,546",3
"Chapter 683: ""A girl like ice""",Shanks,"Oct 4, 2012","7,142",5
"Chapter 682: ""Mastermind.""",Shanks,"Sep 19, 2012","11,996",24
"Chapter 681: ""Luffy VS Master""",Captain Stickman,"Sep 12, 2012","16,281",20
"Chapter 680: ""Captain of the Marines G-5 Kichiku no Vergo!""",Soma,"Sep 5, 2012","7,178",4
"Chapter 677: ""Counter Hazard!!""",Soma,"Aug 12, 2012","23,991",36
"Chapter 679: ""Determination G-5""",DevonHawk,"Aug 29, 2012","11,013",14
"Chapter 678: ""Inside the lab, lobby of building A""",Shanks,"Aug 22, 2012","13,099",23
"Chapter 676: ""The Weapon of Mass Destruction""",Soma,"Aug 1, 2012","9,757",14
"Chapter 675: ""And it's Called 'Shi-no-Kuni'""",Captain Stickman,"Jul 25, 2012","7,236",4
"One Piece Chapter 669: ""Begin Strategy""",Owl,"Jun 2, 2012","16,034",26
"Chapter 674: ""Spectators""",Soma,"Jul 10, 2012","7,264",11
"Chapter 673: ""Vergo & Joker""",Soma,"Jul 4, 2012","9,396",17
"Chapter 672: ""My name is Kinemon!!""",Soma,"Jun 27, 2012","9,788",15
"Chapter 671: ""The Gas-Gas Fruit""",Soma,"Jun 13, 2012","12,203",24
"Chapter 670: ""Blizzards with a chance of slime""",Owl,"Jun 6, 2012","5,781",16
